,date,price,title
58,2022-12-04 00:00:00,599.99,TAMRON SP 24-70mm f2.8 Di VC USD G2 NIKON MOUNT AUTO FOCUS ZOOM LENS
59,2022-11-20 00:00:00,223.49,TAMRON Di USD SP 24-70mm f2.8 NIKON G MOUNT AF LENS ** WORKS BUT SOLD AS IS **
60,2022-11-21 00:00:00,606.99,Tamron A032 SP 24-70mm f/2.8 Di VC USD G2 Lens For Nikon F
61,2022-10-10 00:00:00,637.00,Tamron SP 24-70mm f/2.8 Di VC USD G2 Nikon Lens
62,2022-12-04 00:00:00,530.00,Tamron SP 24-70mm f/2.8 Di VC USD G2 Lens for Nikon F mount
63,2022-12-11 00:00:00,560.00,Tamron SP 24-70mm f/2.8 Di VC USD G2 Lens for Nikon + UV filter & Tap-In Console
64,2022-10-09 00:00:00,600.00,Tamron 24-70mm f/2.8 SP G2 Di VC USD G2 Zoom Lens for Nikon F Mount
65,2022-11-23 00:00:00,575.00,Tamron 24-70mm f/2.8 SP G2 Di VC USD G2 Zoom Lens for Nikon Mount
66,2022-10-09 00:00:00,380.00,Tamron Nikon AF-S 24-70mm F2.8G Zoom Lens
67,2022-11-25 00:00:00,580.00,Tamron SP 24-70mm f/2.8 Di VC USD G2 (A032) Lens for Nikon + Hood + Bag
68,2022-11-13 00:00:00,456.00,Nikon AF-S Nikkor 24-70mm 1:2.8G ED
69,2022-10-20 00:00:00,596.00,Tamron 24-70mm f/2.8 SP G2 Di VC USD G2 Zoom Lens for Nikon Mount Used
70,2022-11-16 00:00:00,580.00,Tamron SP 24-70mm f/2.8 Di VC USD G2 Lens for Nikon-used
71,2022-11-08 00:00:00,525.00,Nikon AF-S NIKKOR 24-70 1:2.8 G ED
72,2022-10-29 00:00:00,660.00,Tamron SP 24-70mm f/2.8 Di VC USD G2 Lens For [Nikon]
73,2022-12-03 00:00:00,424.00,Nikon NIKKOR AF-S 24-70mm 1:2.8 G ED
74,2022-12-09 00:00:00,625.00,"Tamron 24-70mm f/2.8 SP G2 Di VC USD G2 Lens for Nikon w/ Lens Filter, from US"
75,2022-12-30 00:00:00,249.00,Tamron SP 24-70mm f/2.8 Di VC USD G2 Lens - AF not working
76,2022-12-06 00:00:00,275.99,Nikon N AF-S Nikkor 24-70mm 1:2.8G ED Parts/Repair
77,2022-11-01 00:00:00,600.00,Tamron 24-70mm F/2.8 G2 Di VC USD G2 Zoom Lens for Nikon Mount
78,2022-10-18 00:00:00,420.00,Nikon Af-s Nikkor 24-70mm 1:2.8g Ed Nano Crystal Coat Lens
79,2022-12-05 00:00:00,550.00,Tamron 24-70mm f/2.8 SP Di VC USD G2 Zoom Lens for Nikon Mount
80,2022-12-07 00:00:00,315.00,Tamron SP A007 24-70mm f/2.8 Di VC USD (A007) Autofocus Lens For Nikon 
81,2022-10-16 00:00:00,25.00,Tamron 24-70mm f/3.3-5.6 Aspherical lens Nikon AF
82,2022-10-10 00:00:00,541.00,Tamron SP 24-70mm f/2.8 Di VC USD G2 Lens for Nikon. Perfect Condition!
83,2022-10-08 00:00:00,670.00,New Tamron SP 24-70mm f/2.8 DI VC USD G2 Lens - NIKON F  [Model A032N]
84,2022-12-29 00:00:00,566.33,Nikon Af-s Nikkor 24-70mm F2.8g Ed Nano Crystal Coat Lens
85,2022-11-06 00:00:00,610.00,Tamron 24-70mm f/2.8 SP G2 Di VC USD G2 Zoom Lens for Nikon Mount
86,2022-12-02 00:00:00,310.00,Tamron SP A007 24-70mm f/2.8 Di VC USD (A007) Autofocus Lens For Nikon 
87,2023-01-02 00:00:00,400.00,Tamron SP 24-70mm f/2.8 Di VC USD G2 Lens Nikon
88,2022-12-04 00:00:00,330.00,Tamron SP 24-70mm f/2.8 Di USD (A007) VC Zoom Lens for Nikon + Hoya HD CIR-PL
89,2022-12-16 00:00:00,466.57,Nikon N AF-S Nikkor 24-70mm 1:2.8G ED
90,2022-11-06 00:00:00,251.00,Tamron SP A007 24-70mm f/2.8 Di VC USD (A007) Autofocus Lens For Nikon. see Info
91,2022-11-13 00:00:00,200.00,tamron sp 24-70mm f/2.8 di vc usd nikon - As Is
92,2022-10-23 00:00:00,227.00,Tamron SP 24-70mm f/2.8 Di VC USD G2 Lens for Nikon EF H405
93,2023-01-01 00:00:00,596.00,Tamron SP 24-70mm f/2.8 Di VC USD G2 Lens for Nikon
94,2022-10-21 00:00:00,610.00,**Tamron SP 24-70mm f/2.8 Di VC USD G2 Lens Display Model Nikon
95,2022-12-31 00:00:00,450.00,Nikon Nikkor AF-S 24-70mm f2.8 G ED IF ASPH Lens AFS #219
96,2022-10-17 00:00:00,360.00,TAMRON A007N 24-70mm F/2.8 DI VC USD Lens For Nikon Mount
97,2022-11-18 00:00:00,"2,751.25",Nikon N AF-S Nikkor 24-70mm 1:2.8G ED
98,2022-12-28 00:00:00,550.00,Tamron SP 24-70mm f/2.8 Di VC USD G2 Lens
99,2022-12-24 00:00:00,430.00,Nikon Af-s Nikkor 24-70mm F2.8g Ed Nano Crystal Coat Lens
100,2023-01-02 00:00:00,939.00,Nikon AF-S Nikkor Lens 24-70mm 1:2.8E VR ED Nano Crystal Coat 2184894
101,2022-10-13 00:00:00,325.00,Tamron SP A007 24-70mm f/2.8 Di VC USD (A007) Autofocus Lens For Nikon 
102,2022-12-19 00:00:00,325.00,Tamron SP 24-70mm F/2.8 Di VC USD Autofocus Lens For Nikon
103,2022-12-04 00:00:00,284.00,Used Tamron 24-70mm F/2.8 SP DI VC USD (A007) AF Lens For Nikon {82} - (UG) EX+
104,2023-01-02 00:00:00,346.00,Tamron SP 24-70mm f/2.8 Di VC USD A007 Lens for Nikon  - Near MINT w/Pouch!
105,2023-01-02 00:00:00,708.00,Tamron 24-70mm f2.8 SP Di VC USD G2 Zoom Lens for Canon EF
106,2022-12-08 00:00:00,480.00,Tamron 24-70mm f2.8 SP Di VC USD G2 Zoom Lens for Canon EF USED
107,2022-12-04 00:00:00,450.00,Nikon AF-S Nikkor 24-70mm F2.8G ED Nano SWM Lens w/ Hood
108,2023-01-04 00:00:00,437.00,Nikon Nikkor 24-70mm f/2.8 G ED
109,2022-12-16 00:00:00,463.95,Nikon N AF-S Nikkor 24-70mm 1:2.8G ED
110,2022-11-18 00:00:00,"2,735.84",Nikon N AF-S Nikkor 24-70mm 1:2.8G ED
111,2023-01-03 00:00:00,700.00,Tamron SP 24-70mm f/2.8 Di VC USD G2 for Canon
112,2022-11-01 00:00:00,305.00,Tamron SP A007 24-70mm f/2.8 Di VC USD Lens For Nikon
113,2022-11-18 00:00:00,660.00,Tamron A032 SP 24-70mm f/2.8 Di VC USD G2 Lens For Nikon F
114,2022-10-22 00:00:00,607.00,Tamron SP 24-70mm f/2.8 Di VC USD G2 Nikon Lens
115,2023-01-05 00:00:00,476.00,Nikon Nikkor 24-70mm f/2.8 G f/2.8G ED Zoom Lens Excellent Condition w/Caps WOW!
116,2022-12-03 00:00:00,481.00,Nikon 24-70mm f/2.8G AF-S
117,2022-12-24 00:00:00,426.00,Nikon Nikkor AF-S 24-70mm f2.8 G ED IF ASPH Lens AFS
118,2022-12-16 00:00:00,455.00,Nikon AF-S 24-70mm f/2.8 G ED N Lens *NO RESERVE*
119,2022-12-25 00:00:00,436.50,Nikon NIKKOR AF-S 24-70mm F/2.8G ED Lens
