,date,price,title
50,2022-12-06 00:00:00,150.00,Nikon AF-S DX Nikkor 10-24mm f/3.5-4.5 G ED Camera Wide Angle Zoom Lens
51,2022-12-05 00:00:00,325.00,Nikon AF-S DX NIKKOR 10-24mm f/3.5-4.5G ED Zoom Lens - MINT Condition
52,2022-12-04 00:00:00,8.49,"Lens Cap Cover Protector for Nikon AF-S NIKKOR 18-35mm, 10-24mm f/3.5-4.5G ED"
53,2022-12-03 00:00:00,334.00,Nikon AF-S DX Nikkor 10-24mm f/3.5-4.5g ed  [Near Mint] #1088610
54,2022-12-02 00:00:00,234.00,"""Mint"" Nikon AF-S Nikkor 10-24mm F/3.5-4.5 G ED Zoom Lens From Japan 792A"
55,2022-11-29 00:00:00,599.00,New! Nikon Nikkor 10-24mm f3.5-4.5G ED AF-S DX  New in box
56,2022-11-28 00:00:00,269.99,Nikon AF-S DX NIKKOR 10-24mm f/3.5-4.5G ED Zoom Lens
57,2022-11-26 00:00:00,288.99,Nikon Nikkor AFS 10-24mm f/3.5 - 4.5 G ED SWM DX Aspherical Camera Lens #T98111
58,2022-11-25 00:00:00,269.99,Nikon AF-S DX NIKKOR 10-24mm f/3.5-4.5G ED Zoom Lens
59,2022-11-24 00:00:00,250.00,Nikon AF-S DX NIKKOR 10-24mm f/3.5-4.5G ED Zoom Lens - Excellent Condition
60,2022-11-22 00:00:00,349.98,[Near Mint]Nikon AF-S DX NIKKOR 10-24mm f3.5-4.5G ED 
61,2022-11-22 00:00:00,239.00,Nikon Nikkor AF-S 10-24mm f3.5-4.5 G DX ED IF Lens AFS Clean!
62,2022-11-18 00:00:00,331.19,[Mint] Nikon AF-S DX NIKKOR 10-24mm f/3.5-4.5 G ED from Japan #1082444
63,2022-11-12 00:00:00,339.99,【TOP MINT+ IN BOX】NIKON AF-S NIKKOR 10-24mm F/3.5-4.5 G ED DX Zoom Lens +HOOD JP
64,2022-11-10 00:00:00,302.11,Nikon AF-S DX NIKKOR 10-24mm F3.5-4.5G ED Zoom Lens for F Mount w/ Box #220507m
65,2022-11-09 00:00:00,339.99,Nikon AF-S DX Nikkor 10-24mm f/3.5-4.5g ed - Excellent ++
66,2022-11-07 00:00:00,222.50,Nikon AF-S DX NIKKOR 10-24mm f/3.5-4.5G ED Zoom Lens With UV Filter
67,2022-11-05 00:00:00,249.99,EXCELLENT Nikon AF-S DX NIKKOR 10-24mm F/3.5-4.5 G ED F Mount Wide Zoom Lens
68,2022-11-05 00:00:00,300.00,Used Nikon AF-S DX Nikkor 10-24mm f/3.5-4.5g ed
69,2022-11-03 00:00:00,275.00,Nikon AF-S DX Nikkor 10-24mm f/3.5-4.5 G ED + 77mm Circular Polarizer 
70,2022-11-03 00:00:00,190.00,Nikon AF-S DX Nikkor 10-24mm f/3.5-4.5 G ED Autofocus Lens Black Wide Angle Zoom
71,2022-10-28 00:00:00,285.00,Nikon AF-S DX NIKKOR 10-24mm f/3.5-4.5G ED & UV Filter. US model Mint Condition
72,2022-10-21 00:00:00,227.50,Nikon AF-S DX Nikkor 10-24mm f/3.5-4.5 G ED Wide Angle Zoom + 77mm UV Filter
73,2022-10-19 00:00:00,329.99,Nikon Nikkor AFS 10-24mm f/3.5 - 4.5 G ED SWM DX Aspherical Camera Lens #T18191
74,2022-10-15 00:00:00,157.50,Nikon AF-S DX Nikkor 10-24mm f/3.5-4.5 G ED Autofocus Lens Black Wide Angle Zoom
75,2022-10-14 00:00:00,363.99,Top MINT in Box Nikon AF-S NIKKOR 10-24mm f/3.5-4.5 G ED DX IF SWM From Japan
76,2022-10-12 00:00:00,296.00,Nikon AF-S DX NIKKOR 10-24mm f/3.5-4.5G ED Zoom Lens MINT Condition!!
77,2022-11-29 00:00:00,152.50,AFS Nikkor 10-24 f3.4-4 G ED DX Wide angle zoom for Nikon DX format
78,2023-01-06 00:00:00,225.00,Nikon AF-S DX NIKKOR 10-24mm f/3.5-4.5G ED Wide Angle Zoom Lens
79,2023-01-05 00:00:00,274.99,Nikon AF-S DX NIKKOR 10-24mm f/3.5-4.5G ED Zoom Lens for F Mount Camera Used
80,2023-01-04 00:00:00,178.50,Nikon DX 10-24mm F3.5-4.5G ED Zoom lens
81,2022-12-19 00:00:00,275.00,Nikon AF-S DX NIKKOR 10-24mm f/3.5-4.5G ED Zoom Lens from Japan [excellent++]
82,2023-01-08 00:00:00,274.99,Nikon AF-S DX NIKKOR 10-24mm f/3.5-4.5G ED Zoom Lens for F Mount Camera Used
83,2023-01-16 00:00:00,384.79,Nikon Nikkor AF-S 10-24mm f3.5-4.5 G DX ED IF Lens AFS #428
84,2022-12-15 00:00:00,899.95,Nikon 10-24mm f/3.5-4.5G ED AF-S DX Zoom-Nikkor Lens + UV Filter & Cleaning Kit
85,2022-12-02 00:00:00,194.00,Nikon DX 10-24mm F3.5-4.5G ED Zoom lens NR
86,2023-01-23 00:00:00,285.00,Nikon AF-S Nikkor DX 10-24mm f/3.5-4.5G ED Zoom Lens w/Hood [N Mint] JPN 1112504
87,2023-01-27 00:00:00,650.00,Nikon Lens AF-S DX Nikkor 10-24mm F/3.5-4.5G ED
88,2023-01-29 00:00:00,324.00,NIKON AF-S NIKKOR  DX 10-24mm F/3.5-4.5 G ED LENS Mint Condition 
